trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.20328984513196,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-90.29314181167,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-151.5791945331852,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,11,-17.1434889338279,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-170.3961289516912,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,13.316535851144351,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-122.91809253027326,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-61.246769981972214,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,10,-14.831532595484337,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-66.28773253814633,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,1,-0.6062870526412625,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-48.68021339943774,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,-67.98765633596865,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,7,-28.919426078964833,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,1,-48.35794290034938,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-130.12080725337526,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-91.39085053146273,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-75.23674573701074,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-7.035923070797459,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,8,0.22368356822677615,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,6,-27.95332985183163,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,15,1.064727086178101,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,28.294135090395784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,6,-38.5565733781009,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",30,10,-11.364782475296925,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,-2.6215415056968387,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,6.703392446628564,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,2,27.41303437964081,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,8.066896233945602,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,-170.33601274116938,"{0: 22, 1: 0, 2: 2, 3: 3, 4: 3}",1
