trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-133.7128318205652,"{0: 9, 1: 1, 2: 6, 3: 4, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-148.85361086975075,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-24.939629967730628,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-195.65527020683274,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-104.71940746894845,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-141.98575298880314,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-106.33635457823726,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-91.4387083729457,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-126.18977330781601,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-127.60892593893226,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-200.73026793002322,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-36.033830312160234,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-75.89923053033371,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-53.26152499091935,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-102.04111112782627,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-116.92494453992538,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
