trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.77019003290482,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.28587121172387,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.90832877093982,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-242.68106180390205,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.5652944352825,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.3358908577821,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.54083267698795,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.818057035936,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.59199225701097,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.07466073757787,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.25484870536147,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.72824709319008,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.25605039579999,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.88365487104508,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-284.9293261318897,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.30390320863847,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.707155355045,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,5,-87.17427952043079,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.7352409701529,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.22923198406824,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.04383302138343,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.79863773143772,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-212.49670343494978,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.02791301655543,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.24692991935655,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.12465633990995,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.79851516403505,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.71040464963914,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-166.16403059486743,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.58791887290116,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
